epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,6851.71,0.53513,0.9228,1.14615,0.64175,0.72322,0.74424,0.66524,0.4825,0.97339,1.1287,0.00106407,0.000354691,0.00106407,0.000354691,0.00106407,0.000354691,0.00106407,0.000354691
31,7078.25,0.53117,0.92346,1.14738,0.64296,0.73522,0.73901,0.6624,0.47927,0.98444,1.12894,0.00101459,0.000338198,0.00101459,0.000338198,0.00101459,0.000338198,0.00101459,0.000338198
32,7304.66,0.52688,0.90853,1.14244,0.65771,0.71622,0.73298,0.65953,0.46804,0.97794,1.11909,0.000965114,0.000321705,0.000965114,0.000321705,0.000965114,0.000321705,0.000965114,0.000321705
33,7531.79,0.53169,0.90979,1.14807,0.67427,0.6998,0.73438,0.65776,0.47711,0.99526,1.13052,0.000915634,0.000305211,0.000915634,0.000305211,0.000915634,0.000305211,0.000915634,0.000305211
34,7758.57,0.52594,0.89328,1.13895,0.66626,0.71586,0.7382,0.662,0.47309,0.99433,1.12921,0.000866153,0.000288718,0.000866153,0.000288718,0.000866153,0.000288718,0.000866153,0.000288718
35,7985.15,0.52134,0.88871,1.13985,0.6545,0.71864,0.73498,0.65743,0.47821,0.99795,1.13617,0.000816673,0.000272224,0.000816673,0.000272224,0.000816673,0.000272224,0.000816673,0.000272224
36,8211.27,0.51852,0.88083,1.13729,0.63094,0.73701,0.73104,0.65602,0.47509,1.0009,1.13618,0.000767193,0.000255731,0.000767193,0.000255731,0.000767193,0.000255731,0.000767193,0.000255731
37,8436.91,0.52205,0.87167,1.14002,0.66403,0.71693,0.72629,0.65148,0.47639,1.00222,1.1335,0.000717713,0.000239238,0.000717713,0.000239238,0.000717713,0.000239238,0.000717713,0.000239238
38,8663.11,0.51442,0.86494,1.13276,0.63622,0.7434,0.73156,0.65739,0.47523,1.00594,1.13594,0.000668233,0.000222744,0.000668233,0.000222744,0.000668233,0.000222744,0.000668233,0.000222744
39,8889.24,0.5117,0.84731,1.13312,0.64319,0.7416,0.73202,0.65874,0.47051,1.00394,1.13109,0.000618752,0.000206251,0.000618752,0.000206251,0.000618752,0.000206251,0.000618752,0.000206251
40,9115.75,0.50438,0.84479,1.12763,0.64808,0.72755,0.73566,0.66248,0.46779,1.01908,1.13043,0.000569272,0.000189757,0.000569272,0.000189757,0.000569272,0.000189757,0.000569272,0.000189757
41,9340.53,0.33132,0.32807,1.09144,0.67613,0.69124,0.72609,0.6468,0.49206,1.02729,1.1547,0.000519792,0.000173264,0.000519792,0.000173264,0.000519792,0.000173264,0.000519792,0.000173264
42,9564.1,0.31021,0.29176,1.06995,0.66463,0.70554,0.72877,0.64998,0.49074,1.03737,1.15919,0.000470312,0.000156771,0.000470312,0.000156771,0.000470312,0.000156771,0.000470312,0.000156771
43,9787.78,0.29898,0.27634,1.05712,0.65364,0.71136,0.72808,0.65687,0.46655,1.02878,1.13107,0.000420832,0.000140277,0.000420832,0.000140277,0.000420832,0.000140277,0.000420832,0.000140277
